,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity
56,Cluck Clucks Chicken & Waffles - Mississauga,ChIJAcuwCj4_K4gRfn211sdUzQM,43.6339107,-79.6877016,4.8,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","70 World Dr, Mississauga"
19,CHAR'D Grill,ChIJs5VbU6FHK4gRh4R37LEnDkA,43.6158527,-79.6179741,4.7,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","925 Rathburn Rd E Unit C3, Mississauga"
43,Oliverâ€™s Pizza & Donair (HALAL) Halifax Style Donair,ChIJF2mOVexHK4gR-YZ5xFjeTeo,43.5883869,-79.6062099,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","400 Dundas St E, Mississauga"
38,Burger Factory,ChIJ8R7bgpY4K4gRYjqHge_ecHQ,43.6370724,-79.6236973,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","5130 Dixie Rd, Mississauga"
3,Haze Lounge,ChIJZcmy8zBHK4gR1zxiaBUsqUo,43.5998183,-79.64025409999999,4.5,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']","4230 Sherwoodtowne Blvd Unit #100, Mississauga"
9,Lezzet Shawarma Falafel House,ChIJxy-8YYA4K4gR_baRdYjNSQE,43.6243957,-79.60680479999999,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","4120 Dixie Rd, Mississauga"
37,ChickQueen,ChIJC28-9-U5K4gR7jSeUIeQJM8,43.6370096,-79.62375639999999,4.5,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","5130 Dixie Rd Unit #4, Mississauga"
32,Pizza Shab Mississauga,ChIJ_1RX2a5HK4gRKS7Wazl6Zr0,43.57980389999999,-79.61352339999999,4.4,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","35 King St E Unit 20, Mississauga"
52,Shawarma Mazaya,ChIJi4hcjJY4K4gRZuwYfpY6sL0,43.636876,-79.62395,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","5130 Dixie Rd unit 6, Mississauga"
36,Tangritah Uyghur Kabab House,ChIJe3kNOpJBK4gRJKYB2ntBl9w,43.5777587,-79.6615142,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","900 Rathburn Rd W D3, Mississauga"
20,Bergham - Mississauga,ChIJvUU72qZBK4gRsGayon8nzCE,43.608709,-79.696507,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","5955 Latimer Dr #11B, Mississauga"
18,Mr. Greeko Halal Mediterranean,ChIJL3jTOX44K4gRyzk-uXpi5PY,43.625224,-79.6040702,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","4141 Dixie Rd, Mississauga"
45,Nafisa Middle Eastern Cuisine,ChIJE8pfUE9BK4gRGkjjmfMGN_s,43.5841948,-79.7162097,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","117 Queen St S Unit 4, Mississauga"
10,The Kebab Bistro,ChIJtweHxtNBK4gRyAg4YigO8QU,43.5998582,-79.712741,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","6085 Creditview Rd Unit 16, Mississauga"
42,Shawarma Flavors,ChIJs97TIwFHK4gRB7ZBPRLSZbA,43.5642292,-79.6355076,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","755 Dundas St W, Mississauga"
44,Tarboosh Restaurant,ChIJ06YG0OVGK4gRkDGx8wTW_As,43.577973,-79.621479,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","3050 Confederation Pkwy, Mississauga"
50,Burger Legend Streetsville,ChIJl3PYWblBK4gRTZzo5Kc7U5Y,43.5803375,-79.71229699999999,4.3,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","236 Queen St S, Mississauga"
16,Village Taste,ChIJhU2yHSg5K4gRgLJ3YDymEC4,43.626121,-79.60461769999999,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","4141 Dixie Rd #10&11, Mississauga"
17,Afghan Grill House,ChIJhzOLFVtBK4gR-yrrWuAokbI,43.6248016,-79.67160790000001,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","120 Traders Blvd E Unit 110, Mississauga"
7,Watan Kabob - Matheson,ChIJ5ew6QqNAK4gRXYrDZVtoAiA,43.6196252,-79.6680678,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","55 Matheson Blvd E, Mississauga"
33,Zauq Mississauga,ChIJERXHS5c4K4gRjv22337r-EY,43.635445,-79.622726,4.3,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","1325 Eglinton Ave E #12, Mississauga"
4,La Mill,ChIJQwWIm55AK4gRlpyzPrtU3hk,43.6258049,-79.6778489,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","35 Brunel Rd, Mississauga"
25,Mandi Afandi,ChIJxxUiyZY4K4gRzNA1fbKkA24,43.6367407,-79.6227734,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","5120 Dixie Rd #1, Mississauga"
51,Shaheen Food Centre,ChIJgYzCmDRBK4gRARY68FU-IXQ,43.5736286,-79.6520087,4.3,"['meal_takeaway', 'grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","3570 Wolfedale Rd, Mississauga"
39,Roman Zaman Damascene Cuisine,ChIJq1Be7dlGK4gRC09Wta_B470,43.5830851,-79.6375655,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","325 Central Pkwy W Unit 8, Mississauga"
48,The Maharaja- Take Away/Delivery Only @the moment,ChIJeTiV4M9AK4gRv_axNZ9z1m4,43.599016,-79.660372,4.2,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","4646 Heritage Hills Blvd #3, Mississauga"
49,Karioka Fine Egyptian Cuisine & French Cafe,ChIJAfIMXBlBK4gRYUT3jAOkYi8,43.56519,-79.7009841,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","1675 The Chase #17, Mississauga"
2,Pizza Karachi,ChIJa7fE5nhBK4gRPpw1R6G1lIk,43.6095216,-79.6965158,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","812 Britannia Rd W Unit 104, Mississauga"
53,Burrito Boyz,ChIJ-aCavZY4K4gRnqJfOpz2SAw,43.6363433,-79.624256,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","5130 Dixie Rd, Mississauga"
54,Mani's Pizza & Wings,ChIJxZ2X309HK4gRRupu0Wdqq9E,43.6157472,-79.6404072,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","4665 Central Pkwy E #11, Mississauga"
26,Eastern Foods Intl,ChIJB7WPauNGK4gRsG73vn7X3bw,43.58185599999999,-79.61789399999999,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","3071 Hurontario St, Mississauga"
46,Galito's,ChIJE_h2-b1BK4gRFxiSD0Oj91M,43.6131705,-79.6954128,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","6045 Mavis Rd #2, Mississauga"
13,Badshah Grill,ChIJNSx-RPE5K4gR050LO-XnPuo,43.6364451,-79.62428799999999,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","5130 Dixie Rd #14, Mississauga"
28,Karmalis Jerk House By CloudChefs,ChIJmw13vnpBK4gRlvo7D4Ukry0,43.5683687,-79.6521841,4.1,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","3445 Semenyk Ct, Mississauga"
1,Tazah Taste,ChIJs99mW-NGK4gR2xqJ23jmDzo,43.58136500000001,-79.617284,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","3041A Hurontario St, Mississauga"
8,Pita Land Eglinton,ChIJ2SCcTspAK4gRtEvrzGpq_cU,43.6054872,-79.6533773,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","30 Eglinton Ave W, Mississauga"
0,Nihari Inn by Toshka Halal Restaurant & Patio,ChIJk3R0JIpHK4gRoJmYnNPYrdE,43.5796259,-79.64642309999999,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","3900 Grand Park Dr Unit 1, Mississauga"
12,The Halal Guys,ChIJMU2GBZpBK4gRx-1yNo4fvoM,43.6134444,-79.6949398,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","6045 Mavis Rd #6, Mississauga"
40,Boston Pizza,ChIJj7Fi1i9HK4gR-OoWNql2XxY,43.5966768,-79.6424333,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","35 Square One Dr, Mississauga"
11,HALAL SHAMIANA DESI RESTAURANT,ChIJb5hHd19AK4gRsG_QOQAGgI4,43.6091115,-79.69592089999999,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","816 Britannia Rd W unit 101, Mississauga"
31,Karahi Boys,ChIJSfl2sU5BK4gR-J9rMq6nJio,43.6090332,-79.69696119999999,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","5955 Latimer Dr #5, Mississauga"
5,Karachi Kabab wala,ChIJl1VoyFNBK4gRv4nikvVRwt4,43.609966,-79.69688769999999,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","808 Britannia Rd W, Mississauga"
55,Salt & Pepper Hakka Chinese,ChIJmWeCm55AK4gRQZDMdCRTK0U,43.626118,-79.677229,3.9,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","35 Brunel Rd #4, Mississauga"
22,Lazeez Shawarma,ChIJwy-409hAK4gR9IHfs8zymsE,43.5919296,-79.6669904,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","660 Eglinton Ave W, Mississauga"
34,Tabaq,ChIJDcI6g_xGK4gR01J-uOJzr7k,43.5805942,-79.6142589,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","2580 Shepard Ave, Mississauga"
57,Hot & Sour,ChIJ730Oc-JAK4gRcuGVSiBqjvI,43.5906318,-79.679627,3.7,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","1010 Dream Crest Rd, Mississauga"
29,Double Double Pizza and Chicken,ChIJkRq2DONGK4gRSFJ3gRkI860,43.5823837,-79.6189187,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","3095 Hurontario St, Mississauga"
41,Popeyes Louisiana Kitchen,ChIJQ6nQ_tlGK4gR0jFtU2Dy_rw,43.5830645,-79.6374913,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","325 Central Pkwy W, Mississauga"
35,Lazeez Shawarma,ChIJjz7Q80tAK4gRnrHWcRnxcbA,43.5993737,-79.7132431,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","6085 Creditview Rd #2B, Mississauga"
27,Mucho Burrito Fresh Mexican Grill,ChIJw7DOS3g_K4gR8zlPrtjqQMw,43.6370582,-79.691858,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","80 Courtneypark Dr E, Mississauga"
14,My Halal Express,ChIJuZSzhrpBK4gR33c9P2FPEb4,43.5969908,-79.6621831,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","488 Eglinton Ave W Unit#22A, Mississauga"
47,Kobe Sizzlers,ChIJAT2RtF9AK4gRQ10I8e1m7Cc,43.610037,-79.696991,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","808 Britannia Rd W #105, Mississauga"
24,Hot Plate,ChIJ-fwJ5eRGK4gRP_6umE1peHc,43.5788447,-79.6185264,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","69 Dundas St W, Mississauga"
58,Kandahar Kabab,ChIJE5vCtpU4K4gRSsOCBhp6oFk,43.6397767,-79.62546979999999,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","5165 Dixie Rd, Mississauga"
15,Halal Choice,ChIJL4aaKDtHK4gRuxc4SyGNTkU,43.5971991,-79.63594530000002,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","4 Robert Speck Pkwy #210, Mississauga"
6,Lazeez Shawarma,ChIJqWUnfhdHK4gRKOF7I6zm1-U,43.5806746,-79.6479135,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","3960 Grand Park Dr Unit 1, Mississauga"
23,Wings Plus Things,ChIJK0kCEKc4K4gRQOhx9DBlZIk,43.6279034,-79.6342952,2.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","5004 Timberlea Blvd #19a, Mississauga"
30,"King Karahi & BBQ, shop 7",ChIJpa6CDWVHK4gRghEyRWcbO4U,43.58035,-79.6149342,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","3-2580 Shepard Ave, Mississauga"
21,Serving Halal Cooked Meals Mississauga,ChIJoVsYnalHK4gR3y-MYKN972A,43.5543746,-79.6454298,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","1212 Dundas St W, Mississauga"
